id,stock_code,stock_name,oss_url,is_key_polluters,full_name,人工结果,自动化和人工对比结果
44394,000875,吉电股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/吉电股份/1205953618.PDF,适用,吉林电力股份有限公司,适用,相同
44939,002006,精功科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/精功科技/1206008814.PDF,不适用,浙江精功科技股份有限公司,不适用,相同
52512,002095,生 意 宝,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/生 意 宝/1206115446.PDF,不适用,浙江网盛生意宝股份有限公司,不适用,相同
52815,002452,长高集团,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/长高集团/1206163618.PDF,适用,湖南长高高压开关集团股份公司,不适用,不相同
51970,601611,中国核建,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中国核建/1206110218.PDF,不适用,中国核工业建设股份有限公司,不适用,相同
44245,601600,中国铝业,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中国铝业/1205958822.PDF,不适用,中国铝业股份有限公司,适用,不相同
51265,300408,三环集团,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/三环集团/1206061371.PDF,适用,潮州三环(集团)股份有限公司,不适用,不相同
52905,600642,申能股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/申能股份/1206158692.PDF,不适用,申能股份有限公司,适用,不相同
51497,603233,大参林,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/大参林/1206069689.PDF,不适用,大参林医药集团股份有限公司,不适用,相同
51010,002566,益盛药业,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/益盛药业/1206040475.PDF,不适用,吉林省集安益盛药业股份有限公司,不适用,相同
52514,603318,派思股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/派思股份/1206115383.PDF,不适用,大连派思燃气系统股份有限公司,不适用,相同
51761,300293,蓝英装备,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/蓝英装备/1206092617.PDF,不适用,沈阳蓝英工业自动化装备股份有限公司,不适用,相同
54413,300102,乾照光电,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/乾照光电/1206070193.PDF,适用,厦门乾照光电股份有限公司,适用,相同
52257,002176,江特电机,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/江特电机/1206099379.PDF,不适用,江西特种电机股份有限公司,不适用,相同
